date,domestic_market_contract_low,export_market_spot,domestic_market_spot,wtisplc,mcoilbrenteu,gasregm,impch,expch,prubbusdm,wpufd4111,pcu325211325211,pcu32611332611301,wpu0915021625,pcu3252132521,mhhngsp,wpu072205011,pcu32611132611115,pcu32611132611112,wpu0915021622,pcu3252113252111,canada_export,usa_export,india_export,south_africa_export,turkey_export,brazil_export,germany_export,united_kingdom_export,canada_import,usa_import,india_import,south_africa_import,germany_import,united_kingdom_import,japan_import
2000-01-01,41.0,,,27.18,25.51,1.289,6902.1,863.1,29.207387288305,135.0,158.3,106.3,,,2.42,,,,,139.4,,,,,61808.0,10352529.0,,,,,,,,,
2000-02-01,41.0,,,29.35,27.78,1.377,6584.4,972.7,33.3910988232947,136.0,159.5,105.6,,,2.66,,,,,141.7,,,,,450675.0,8844172.0,,,,,,,,,
2000-03-01,45.0,,,29.89,27.49,1.516,6424.1,1330.5,30.9419130507091,136.0,163.2,106.1,,,2.79,,,,,146.3,,,,,671273.0,14091209.0,,,,,,,,,
2000-04-01,47.0,,,25.74,22.76,1.465,7070.5,1227.5,31.9301483398313,137.3,164.3,106.9,,,3.04,,,,,151.4,,,,,73178.0,14097518.0,,,,,,,,,
2000-05-01,47.0,,,28.78,27.74,1.487,7850.2,1526.3,31.2017020258803,138.2,167.5,106.3,,,3.59,,,,,155.6,,,,,211953.0,16762995.0,,,,,,,,,
2000-06-01,47.0,,,31.83,29.8,1.633,8541.7,1335.6,30.3866550681669,137.6,167.0,105.6,,,4.29,,,,,155.9,,,,,312225.0,15501421.0,,,,,,,,,
2000-07-01,47.0,,,29.77,28.68,1.551,9246.4,1642.8,29.4021076293167,137.5,167.3,105.6,,,3.99,,,,,153.8,,,,,308117.0,14439223.0,,,,,,,,,
2000-08-01,46.0,,,31.22,30.2,1.465,10054.0,1429.0,30.3085171496012,137.2,167.8,105.6,,,4.43,,,,,153.5,,,,,112650.0,10521032.0,,,,,,,,,
2000-09-01,45.0,,,33.88,33.14,1.55,10061.7,1333.3,29.8124884983428,137.4,163.7,102.9,,,5.06,,,,,148.7,,,,,76038.0,17742278.0,,,,,,,,,
2000-10-01,43.0,,,33.08,30.96,1.532,10611.6,1487.3,30.1277751472933,138.0,166.0,102.8,,,5.02,,,,,146.2,,,,,129922.0,18578970.0,,,,,,,,,
2000-11-01,42.0,,,34.4,32.55,1.517,9066.8,1450.4,28.7437287406289,138.2,164.3,141.8,,,5.52,,,,,143.7,,,,,134679.0,15852411.0,,,,,,,,,
2000-12-01,41.0,,,28.46,25.66,1.443,7604.7,1586.7,28.1258451618706,137.9,162.9,135.4,,,8.9,,,,,141.8,,,,,52558.0,12688176.0,,,,,,,,,
2001-01-01,41.0,,,29.58,25.62,1.447,8427.5,1187.5,27.6103437361532,138.6,165.6,136.0,,,8.17,,,,,142.1,,,,,114142.0,16996151.0,,,,,,,,,
2001-02-01,46.0,,,29.61,27.5,1.45,6375.6,1289.8,27.3004069271481,140.0,167.1,130.3,,,5.61,,,,,143.8,,,,,313227.0,12503539.0,,,,,,,,,
2001-03-01,49.0,,,27.24,24.5,1.409,7590.2,1855.8,26.0187851525231,141.1,169.3,131.9,,,5.23,,,,,146.2,,,,,131038.0,19016793.0,,,,,,,,,
2001-04-01,49.0,,,27.41,25.66,1.552,7686.8,1398.9,26.2534988467767,141.8,169.6,133.5,,,5.19,,,,,146.8,,,,,846888.0,14308828.0,,,,,,,,,
